n_particles,batch_size,mNB,seconds,loglog_slope
256,8,4096,5.3900374979320986e-05,0.9517609631378015
256,32,16384,8.305887502046971e-05,0.9517609631378015
256,128,65536,0.00015991637499723765,0.9517609631378015
256,256,131072,0.000307737374981798,0.9517609631378015
512,8,8192,7.18504999781544e-05,0.9517609631378015
512,32,32768,0.0001129296250041989,0.9517609631378015
512,128,131072,0.00029459675002385666,0.9517609631378015
512,256,262144,0.0006541945000151372,0.9517609631378015
1024,8,16384,0.0001251827499970659,0.9517609631378015
1024,32,65536,0.000201604874973782,0.9517609631378015
1024,128,262144,0.0006326638749953872,0.9517609631378015
1024,256,524288,0.001565685750023249,0.9517609631378015
2048,8,32768,0.00023231175001114934,0.9517609631378015
2048,32,131072,0.0004098221249932976,0.9517609631378015
2048,128,524288,0.001361767500014821,0.9517609631378015
2048,256,1048576,0.0034381768749938146,0.9517609631378015
4096,8,65536,0.00044400250001785935,0.9517609631378015
4096,32,262144,0.0010100647500053128,0.9517609631378015
4096,128,1048576,0.0033904318750046514,0.9517609631378015
4096,256,2097152,0.009962869875010938,0.9517609631378015
